turn,mean_k,median_k,std_k,q25_k,q75_k,min_k,max_k,pct_k_lt_5,pct_k_lt_11,pct_unique
1,13851.6426,13692.0,2606.995571696931,12360.0,17246.0,106.0,17416.0,0.0,0.0,0.0
2,6931.9346,6924.0,1311.4077786848907,5941.0,8514.0,92.0,8738.0,0.0,0.0,0.0
3,4223.842,4964.0,2198.1876355789655,3585.0,5487.0,1.0,6825.0,0.02,0.02,0.02
4,647.5908,493.0,485.22376835480276,257.0,918.0,1.0,1856.0,0.02,0.02,0.02
5,444.353,299.0,384.48322910328915,151.0,675.0,1.0,1431.0,0.27999999999999997,0.8,0.02
6,80.1372,39.0,119.56616406692127,12.0,98.0,1.0,1269.0,12.6,22.74,4.26
7,33.446,5.0,97.5618488286757,1.0,19.0,1.0,1034.0,49.34,65.03999999999999,25.380000000000003
8,15.641,2.0,48.89233284516304,1.0,7.0,1.0,750.0,70.52000000000001,80.34,49.0
9,14.6462,1.0,48.13314019879733,1.0,6.0,1.0,750.0,72.32,82.02000000000001,50.88
10,13.73,1.0,47.78590794993562,1.0,4.0,1.0,750.0,75.48,84.24000000000001,55.74
11,13.1564,1.0,47.83522531352977,1.0,3.0,1.0,750.0,79.88,86.22,64.60000000000001
