turn,mean_k,median_k,std_k,q25_k,q75_k,min_k,max_k,pct_k_lt_5,pct_k_lt_11,pct_unique
1,46837.19722,29846.0,41112.9345635686,11230.0,76662.0,1.0,119501.0,0.009333333333333332,0.027333333333333334,0.006
2,16118.933373333333,6840.0,22382.775717076678,1494.0,17468.0,1.0,92175.0,0.27666666666666667,0.6566666666666667,0.06533333333333334
3,5418.29544,1424.0,10095.906674522856,278.0,5800.0,1.0,69950.0,1.8086666666666669,3.6386666666666665,0.5513333333333333
4,1820.4682066666667,359.0,4124.156183680554,61.0,1634.0,1.0,40233.0,5.852666666666666,10.138,2.152
5,616.7803333333334,100.0,1565.0692685072506,15.0,486.0,1.0,22293.0,13.261333333333333,20.840666666666667,5.586
6,212.87203333333332,30.0,573.9616498376724,5.0,156.0,1.0,12089.0,24.279333333333334,35.114000000000004,11.690000000000001
7,75.32,10.0,199.70101983552195,2.0,54.0,1.0,3258.0,37.89933333333334,50.94266666666667,20.598666666666666
8,27.57128,4.0,67.31566361912309,1.0,20.0,1.0,1053.0,52.312666666666665,65.61399999999999,31.653333333333332
9,6.990628571428571,2.0,18.315905956674264,1.0,5.0,1.0,397.0,73.83009523809524,85.72876190476191,49.942095238095234
10,2.9737988165680473,1.0,6.440628846736548,1.0,2.0,1.0,127.0,86.6240631163708,94.71558185404339,65.04615384615384
11,1.625998347562655,1.0,2.1592008911367695,1.0,1.0,1.0,39.0,94.98760671991187,99.06361883778574,79.23437069677775
