turn,mean_k,median_k,std_k,q25_k,q75_k,min_k,max_k,pct_k_lt_5,pct_k_lt_11,pct_unique
1,3396.6914,1815.0,3633.273572625209,498.0,5640.0,1.0,17416.0,0.06,0.26,0.02
2,584.9836,152.0,1137.4544881768127,30.0,564.0,1.0,9439.0,5.88,11.92,1.7000000000000002
3,106.5454,22.0,204.03944804402806,4.0,113.0,1.0,2492.0,25.4,37.7,10.620000000000001
4,48.0136,6.0,133.2321311666035,1.0,31.0,1.0,1817.0,46.5,59.919999999999995,25.259999999999998
5,22.683,2.0,66.75850395695004,1.0,11.0,1.0,937.0,63.2,74.62,40.28
6,15.317,1.0,50.529195035248506,1.0,6.0,1.0,937.0,72.1,81.54,51.62
7,13.9566,1.0,49.69230706574513,1.0,4.0,1.0,931.0,76.66,84.82,58.4
8,13.3546,1.0,47.885445200106496,1.0,3.0,1.0,750.0,78.86,85.88,62.36000000000001
9,13.2548,1.0,47.84189844068985,1.0,3.0,1.0,750.0,79.22,85.94000000000001,63.339999999999996
10,13.204,1.0,47.83030766853098,1.0,3.0,1.0,750.0,79.44,86.08,63.739999999999995
11,13.1564,1.0,47.83522531352977,1.0,3.0,1.0,750.0,79.88,86.22,64.60000000000001
