turn,mean_k,median_k,std_k,q25_k,q75_k,min_k,max_k,pct_k_lt_5,pct_k_lt_11,pct_unique,model
1,13851.6426,13692.0,2606.995571696931,12360.0,17246.0,106.0,17416.0,0.0,0.0,0.0,progressive
2,6931.9346,6924.0,1311.4077786848907,5941.0,8514.0,92.0,8738.0,0.0,0.0,0.0,progressive
3,4223.842,4964.0,2198.1876355789655,3585.0,5487.0,1.0,6825.0,0.02,0.02,0.02,progressive
4,647.5908,493.0,485.22376835480276,257.0,918.0,1.0,1856.0,0.02,0.02,0.02,progressive
5,444.353,299.0,384.48322910328915,151.0,675.0,1.0,1431.0,0.27999999999999997,0.8,0.02,progressive
6,80.1372,39.0,119.56616406692127,12.0,98.0,1.0,1269.0,12.6,22.74,4.26,progressive
7,33.446,5.0,97.5618488286757,1.0,19.0,1.0,1034.0,49.34,65.03999999999999,25.380000000000003,progressive
8,15.641,2.0,48.89233284516304,1.0,7.0,1.0,750.0,70.52000000000001,80.34,49.0,progressive
9,14.6462,1.0,48.13314019879733,1.0,6.0,1.0,750.0,72.32,82.02000000000001,50.88,progressive
10,13.73,1.0,47.78590794993562,1.0,4.0,1.0,750.0,75.48,84.24000000000001,55.74,progressive
11,13.1564,1.0,47.83522531352977,1.0,3.0,1.0,750.0,79.88,86.22,64.60000000000001,progressive
1,46746.01368,29846.0,41182.39369509001,10920.0,76662.0,1.0,119501.0,0.011333333333333332,0.025333333333333333,0.004,random
2,16050.757233333334,6714.0,22424.35345695666,1507.0,17408.0,1.0,92175.0,0.2446666666666667,0.642,0.06,random
3,5384.411866666666,1412.0,10103.651394342667,279.0,5674.0,1.0,69950.0,1.7386666666666668,3.517333333333333,0.5493333333333333,random
4,1810.6480133333334,359.0,4150.5037798781605,61.0,1590.0,1.0,40233.0,5.840666666666667,10.070666666666666,2.088,random
5,616.7016666666667,100.0,1590.1032625419202,15.0,479.0,1.0,22293.0,13.332666666666668,20.917333333333332,5.6113333333333335,random
6,211.83411333333333,30.0,571.2953885318466,5.0,154.0,1.0,12089.0,24.323333333333334,35.166,11.779333333333334,random
7,75.08017333333333,10.0,199.16621549210075,2.0,53.0,1.0,3258.0,37.891999999999996,50.79866666666667,20.524,random
8,27.65434,4.0,68.23905799680495,1.0,20.0,1.0,1053.0,52.37733333333333,65.75,31.741999999999997,random
9,17.14941333333333,2.0,49.74231623385986,1.0,9.0,1.0,750.0,65.262,76.88333333333334,43.891999999999996,random
10,14.007053333333333,1.0,47.88594669291218,1.0,5.0,1.0,750.0,74.942,83.60733333333333,55.632000000000005,random
11,13.1564,1.0,47.83060098740072,1.0,3.0,1.0,750.0,79.88,86.22,64.60000000000001,random
1,3396.6914,1815.0,3633.273572625209,498.0,5640.0,1.0,17416.0,0.06,0.26,0.02,rarity
2,584.9836,152.0,1137.4544881768127,30.0,564.0,1.0,9439.0,5.88,11.92,1.7000000000000002,rarity
3,106.5454,22.0,204.03944804402806,4.0,113.0,1.0,2492.0,25.4,37.7,10.620000000000001,rarity
4,48.0136,6.0,133.2321311666035,1.0,31.0,1.0,1817.0,46.5,59.919999999999995,25.259999999999998,rarity
5,22.683,2.0,66.75850395695004,1.0,11.0,1.0,937.0,63.2,74.62,40.28,rarity
6,15.317,1.0,50.529195035248506,1.0,6.0,1.0,937.0,72.1,81.54,51.62,rarity
7,13.9566,1.0,49.69230706574513,1.0,4.0,1.0,931.0,76.66,84.82,58.4,rarity
8,13.3546,1.0,47.885445200106496,1.0,3.0,1.0,750.0,78.86,85.88,62.36000000000001,rarity
9,13.2548,1.0,47.84189844068985,1.0,3.0,1.0,750.0,79.22,85.94000000000001,63.339999999999996,rarity
10,13.204,1.0,47.83030766853098,1.0,3.0,1.0,750.0,79.44,86.08,63.739999999999995,rarity
11,13.1564,1.0,47.83522531352977,1.0,3.0,1.0,750.0,79.88,86.22,64.60000000000001,rarity
